GENESIS-Tabelle: 23211-0004
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
1980;Insgesamt;6205;3076;3965;4521;3762;3721;6039;10964;14050;20153;25186;24519;55561;81214;88624;60632;43720;5;4568;2030;1480;1426;1571;1805;3104;5267;6827;10796;18003;18744;44609;74204;99357;101841;100802;5
1980;Bestimmte infektiöse und parasitäre Krankheiten;185;115;24;18;28;25;66;121;133;195;197;197;417;520;491;293;196;-;134;95;25;30;27;27;37;53;69;74;141;117;232;345;411;380;345;-
1980;Tuberkulose einschließlich ihrer Folgezustände;-;1;2;4;11;10;33;79;90;126;123;129;268;351;317;152;87;-;-;2;1;3;3;6;13;15;27;26;64;48;94;123;150;116;84;-
1980;Meningokokkeninfektion;22;25;1;1;-;-;3;-;1;2;-;-;3;1;-;-;-;-;18;22;1;1;3;1;-;-;1;2;1;1;-;3;2;1;3;-
1980;Virushepatitis;3;6;2;3;-;2;2;4;6;8;9;7;10;15;11;3;1;-;1;1;3;4;3;1;-;6;1;4;8;5;14;16;14;11;4;-
1980;HIV-Krankheit;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1980;Neubildungen;23;422;285;331;400;503;956;2150;3318;5448;7387;7372;15488;20614;19158;10740;5096;-;23;295;177;187;294;510;1081;2101;2957;4843;7926;7213;14173;17838;18355;14149;9271;-
1980;Bösartige Neubildungen (BN);17;364;261;302;371;459;892;2034;3153;5242;7117;7167;14987;19973;18511;10281;4839;-;18;240;150;172;263;470;1021;1992;2832;4688;7631;6957;13644;17104;17536;13397;8634;-
1980;BN der Lippe, der Mundhöhle und des Pharynx;-;1;2;2;7;3;49;123;188;202;191;158;252;223;218;96;51;-;-;1;1;2;1;3;6;19;25;49;58;43;88;89;95;89;75;-
1980;BN des Ösophagus;-;-;-;-;-;-;30;76;131;164;186;160;299;327;338;196;84;-;-;-;-;-;1;1;1;11;18;25;33;38;84;116;138;147;92;-
1980;BN des Magens;-;2;1;5;18;43;85;204;328;518;744;815;1869;2508;2539;1475;761;-;-;-;1;8;14;31;69;129;181;294;501;526;1345;1901;2451;2123;1387;-
1980;BN des Dickdarms;-;-;2;4;9;15;51;125;150;319;412;445;1040;1461;1439;879;469;-;-;-;1;-;12;17;52;92;151;326;615;625;1344;1984;2084;1803;1176;-
1980;BN des Rektums, des Anus und am Rektosigmoid;-;-;-;2;4;12;33;78;134;244;326;320;781;1159;1134;620;323;-;-;-;-;-;1;10;33;63;82;163;370;350;790;1065;1176;816;495;-
1980;BN der Leber, der Gallenwege und des Pankreas;2;5;5;6;15;24;53;155;245;435;685;667;1259;1486;1307;714;306;-;1;6;6;7;8;15;23;82;149;365;719;754;1655;2219;2378;1727;1017;-
1980;BN der Leber und der intrahepatischen Gallengänge;1;5;4;4;10;4;11;23;54;116;196;184;350;381;323;141;69;-;1;6;5;5;1;7;8;17;28;56;126;123;249;356;389;301;187;-
1980;BN des Pankreas;-;-;1;2;4;17;35;108;159;251;398;385;692;786;672;360;139;-;-;-;-;2;4;4;12;37;75;146;286;335;699;864;928;656;379;-
1980;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;-;1;4;6;14;39;149;513;966;1803;2562;2534;5017;6432;5049;2158;668;-;-;1;1;1;9;13;40;75;150;227;414;446;795;955;923;538;306;-
1980;BN der Bronchien und der Lunge;-;1;4;5;13;36;136;461;883;1687;2423;2430;4822;6144;4816;2056;619;-;-;1;1;1;9;12;39;71;145;216;398;434;772;930;900;512;296;-
